location,date,vaccine,total_vaccinations
Austria,2021-01-08,Johnson&Johnson,0
Austria,2021-01-08,Moderna,0
Austria,2021-01-08,Oxford/AstraZeneca,0
Austria,2021-01-08,Pfizer/BioNTech,31236
Austria,2021-01-15,Johnson&Johnson,0
Austria,2021-01-15,Moderna,89
Austria,2021-01-15,Oxford/AstraZeneca,0
Austria,2021-01-15,Pfizer/BioNTech,116168
Austria,2021-01-22,Johnson&Johnson,0
Austria,2021-01-22,Moderna,310
Austria,2021-01-22,Oxford/AstraZeneca,0
Austria,2021-01-22,Pfizer/BioNTech,213418
Austria,2021-01-29,Johnson&Johnson,0
Austria,2021-01-29,Moderna,4236
Austria,2021-01-29,Oxford/AstraZeneca,0
Austria,2021-01-29,Pfizer/BioNTech,258217
Austria,2021-02-05,Johnson&Johnson,0
Austria,2021-02-05,Moderna,5931
Austria,2021-02-05,Oxford/AstraZeneca,0
Austria,2021-02-05,Pfizer/BioNTech,354079
Austria,2021-02-12,Johnson&Johnson,0
Austria,2021-02-12,Moderna,10024
Austria,2021-02-12,Oxford/AstraZeneca,10759
Austria,2021-02-12,Pfizer/BioNTech,455773
Austria,2021-02-19,Johnson&Johnson,0
Austria,2021-02-19,Moderna,14151
Austria,2021-02-19,Oxford/AstraZeneca,43493
Austria,2021-02-19,Pfizer/BioNTech,521462
Austria,2021-02-26,Johnson&Johnson,0
Austria,2021-02-26,Moderna,22534
Austria,2021-02-26,Oxford/AstraZeneca,101200
Austria,2021-02-26,Pfizer/BioNTech,582674
Austria,2021-03-05,Johnson&Johnson,1
Austria,2021-03-05,Moderna,31842
Austria,2021-03-05,Oxford/AstraZeneca,156086
Austria,2021-03-05,Pfizer/BioNTech,687176
Austria,2021-03-12,Johnson&Johnson,1
Austria,2021-03-12,Moderna,47204
Austria,2021-03-12,Oxford/AstraZeneca,234793
Austria,2021-03-12,Pfizer/BioNTech,850032
Austria,2021-03-19,Johnson&Johnson,20
Austria,2021-03-19,Moderna,78968
Austria,2021-03-19,Oxford/AstraZeneca,308061
Austria,2021-03-19,Pfizer/BioNTech,982745
Austria,2021-03-26,Johnson&Johnson,34
Austria,2021-03-26,Moderna,104359
Austria,2021-03-26,Oxford/AstraZeneca,383399
Austria,2021-03-26,Pfizer/BioNTech,1129409
Austria,2021-04-02,Johnson&Johnson,59
Austria,2021-04-02,Moderna,140728
Austria,2021-04-02,Oxford/AstraZeneca,421940
Austria,2021-04-02,Pfizer/BioNTech,1277747
Austria,2021-04-09,Johnson&Johnson,113
Austria,2021-04-09,Moderna,180279
Austria,2021-04-09,Oxford/AstraZeneca,512224
Austria,2021-04-09,Pfizer/BioNTech,1499500
Austria,2021-04-16,Johnson&Johnson,124
Austria,2021-04-16,Moderna,222809
Austria,2021-04-16,Oxford/AstraZeneca,608084
Austria,2021-04-16,Pfizer/BioNTech,1733653
Austria,2021-04-23,Johnson&Johnson,129
Austria,2021-04-23,Moderna,260143
Austria,2021-04-23,Oxford/AstraZeneca,656993
Austria,2021-04-23,Pfizer/BioNTech,1997695
Austria,2021-04-30,Johnson&Johnson,403
Austria,2021-04-30,Moderna,299164
Austria,2021-04-30,Oxford/AstraZeneca,699368
Austria,2021-04-30,Pfizer/BioNTech,2271598
Austria,2021-05-07,Johnson&Johnson,6512
Austria,2021-05-07,Moderna,348532
Austria,2021-05-07,Oxford/AstraZeneca,762255
Austria,2021-05-07,Pfizer/BioNTech,2602555
Austria,2021-05-14,Johnson&Johnson,13509
Austria,2021-05-14,Moderna,398532
Austria,2021-05-14,Oxford/AstraZeneca,826401
Austria,2021-05-14,Pfizer/BioNTech,2902553
Austria,2021-05-21,Johnson&Johnson,25765
Austria,2021-05-21,Moderna,466583
Austria,2021-05-21,Oxford/AstraZeneca,903916
Austria,2021-05-21,Pfizer/BioNTech,3281237
Austria,2021-05-28,Johnson&Johnson,37931
Austria,2021-05-28,Moderna,520263
Austria,2021-05-28,Oxford/AstraZeneca,986388
Austria,2021-05-28,Pfizer/BioNTech,3617609
Austria,2021-06-04,Johnson&Johnson,58329
Austria,2021-06-04,Moderna,575780
Austria,2021-06-04,Oxford/AstraZeneca,1054573
Austria,2021-06-04,Pfizer/BioNTech,4044233
Austria,2021-06-11,Johnson&Johnson,80031
Austria,2021-06-11,Moderna,638920
Austria,2021-06-11,Oxford/AstraZeneca,1149402
Austria,2021-06-11,Pfizer/BioNTech,4484214
Austria,2021-06-18,Johnson&Johnson,95001
Austria,2021-06-18,Moderna,688715
Austria,2021-06-18,Oxford/AstraZeneca,1200960
Austria,2021-06-18,Pfizer/BioNTech,4940806
Austria,2021-06-25,Johnson&Johnson,103582
Austria,2021-06-25,Moderna,744516
Austria,2021-06-25,Oxford/AstraZeneca,1274088
Austria,2021-06-25,Pfizer/BioNTech,5387627
Austria,2021-07-02,Johnson&Johnson,129067
Austria,2021-07-02,Moderna,804692
Austria,2021-07-02,Oxford/AstraZeneca,1380897
Austria,2021-07-02,Pfizer/BioNTech,5780754
Austria,2021-07-09,Johnson&Johnson,153245
Austria,2021-07-09,Moderna,855368
Austria,2021-07-09,Oxford/AstraZeneca,1444895
Austria,2021-07-09,Pfizer/BioNTech,6112198
Austria,2021-07-16,Johnson&Johnson,172601
Austria,2021-07-16,Moderna,900246
Austria,2021-07-16,Oxford/AstraZeneca,1493094
Austria,2021-07-16,Pfizer/BioNTech,6388224
Austria,2021-07-23,Johnson&Johnson,189158
Austria,2021-07-23,Moderna,946812
Austria,2021-07-23,Oxford/AstraZeneca,1519861
Austria,2021-07-23,Pfizer/BioNTech,6639897
Austria,2021-07-30,Johnson&Johnson,201216
Austria,2021-07-30,Moderna,965748
Austria,2021-07-30,Oxford/AstraZeneca,1544492
Austria,2021-07-30,Pfizer/BioNTech,6852345
Austria,2021-08-06,Johnson&Johnson,216379
Austria,2021-08-06,Moderna,983570
Austria,2021-08-06,Oxford/AstraZeneca,1558654
Austria,2021-08-06,Pfizer/BioNTech,7031003
Austria,2021-08-13,Johnson&Johnson,226669
Austria,2021-08-13,Moderna,993101
