Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
Afghanistan,156397,7290,128982.0,20125.0,3899,182,777578.0,19384.0,40114009
Albania,190125,2970,178998.0,8157.0,66164,1034,1334004.0,464238.0,2873536
Algeria,207385,5954,142332.0,59099.0,4616,133,230861.0,5139.0,44922583
Andorra,15717,130,15392.0,195.0,202975,1679,193595.0,2500161.0,77433
Angola,64762,1723,61092.0,1947.0,1891,50,1140341.0,33297.0,34247275
Antigua and Barbuda,4091,105,3852.0,134.0,41312,1060,17674.0,178475.0,99028
Argentina,5299418,116165,5166251.0,17002.0,115815,2539,25457423.0,556354.0,45757617
Armenia,322364,6762,285057.0,30545.0,108513,2276,2192270.0,737951.0,2970751
Aruba,16011,172,15702.0,137.0,149106,1602,177885.0,1656593.0,107380
Australia,182870,1841,160511.0,20518.0,7060,71,44693273.0,1725570.0,25900592
Austria,899777,11554,808984.0,79239.0,99138,1273,101090403.0,11138162.0,9076040
Azerbaijan,550446,7320,511400.0,31726.0,53634,713,5301252.0,516541.0,10262987
Bahamas,22544,661,21406.0,477.0,56596,1659,160772.0,403611.0,398334
Bahrain,277113,1393,275404.0,316.0,155557,782,7064562.0,3965671.0,1781429
Bangladesh,1571434,27904,1535390.0,8140.0,9415,167,10507942.0,62955.0,166911974
Barbados,20676,183,12936.0,7557.0,71829,636,405139.0,1407456.0,287852
Belarus,617719,4773,593702.0,19244.0,65401,505,9874866.0,1045500.0,9445109
Belgium,1438830,26200,1230086.0,182544.0,123420,2247,22448244.0,1925568.0,11657987
Belize,28162,509,25511.0,2142.0,69127,1249,321004.0,787941.0,407396
Benin,24804,161,24346.0,297.0,1976,13,604310.0,48143.0,12552421
Bermuda,5688,106,5520.0,62.0,91792,1711,612105.0,9878078.0,61966
Bhutan,2623,3,2614.0,6.0,3349,4,1212920.0,1548838.0,783116
Bolivia,518870,18970,479987.0,19913.0,43644,1596,2563530.0,215629.0,11888620
Bosnia and Herzegovina,260837,11869,192218.0,56750.0,80180,3648,1332707.0,409668.0,3253138
Botswana,193449,2409,188361.0,2679.0,80075,997,1834120.0,759199.0,2415862
Brazil,21897025,609816,21100888.0,186321.0,102033,2842,63776166.0,297177.0,214606811
Brunei,13782,93,12603.0,1086.0,31100,210,533431.0,1203715.0,443154
Bulgaria,643003,25555,502396.0,115052.0,93494,3716,5933719.0,862774.0,6877490
Burkina Faso,15103,221,14661.0,221.0,697,10,226312.0,10440.0,21677923
Burundi,20136,38,773.0,19325.0,1628,3,345742.0,27952.0,12369244
Cabo Verde,38264,350,37837.0,77.0,67824,620,211166.0,374298.0,564166
Cambodia,119227,2840,115591.0,796.0,7000,167,2657551.0,156031.0,17032252
Cameroon,104348,1731,80433.0,22184.0,3803,63,1751774.0,63842.0,27439219
Canada,1737434,29217,1684356.0,23861.0,45494,765,47022347.0,1231258.0,38190476
CAR,11579,100,6859.0,4620.0,2342,20,60228.0,12183.0,4943413
Chad,5105,175,4874.0,56.0,299,10,148082.0,8679.0,17062757
Channel Islands,13968,100,12946.0,922.0,79348,568,1024026.0,5817206.0,176034
Chile,1713188,37883,1624554.0,50751.0,88589,1959,24122101.0,1247361.0,19338515
China,97885,4636,92027.0,1222.0,68,3,160000000.0,111163.0,1439323776
Colombia,5019158,127610,4862352.0,29196.0,97238,2472,27164477.0,526265.0,51617495
Comoros,4332,147,4115.0,70.0,4842,164,,,894657
Congo,18153,309,12421.0,5423.0,3184,54,188207.0,33009.0,5701719
Costa Rica,563290,7176,519077.0,37037.0,109225,1391,2575363.0,499379.0,5157136
Croatia,507535,9605,467549.0,30381.0,124673,2359,3197585.0,785469.0,4070927
Cuba,956919,8270,946063.0,2586.0,84554,731,10703234.0,945746.0,11317242
Curaçao,17162,175,16894.0,93.0,104010,1061,318833.0,1932286.0,165003
Cyprus,124225,577,90755.0,32893.0,101885,473,9477138.0,7772810.0,1219268
Czechia,1828440,31173,1692237.0,105030.0,170311,2904,41343459.0,3850949.0,10735915
Denmark,407417,2742,376978.0,27697.0,70005,471,87461456.0,15028129.0,5819850
Djibouti,13493,186,13277.0,30.0,13393,185,239781.0,238007.0,1007452
Dominica,5070,33,4683.0,354.0,70194,457,95670.0,1324556.0,72228
Dominican Republic,390058,4154,381384.0,4520.0,35475,378,2279876.0,207351.0,10995268
DRC,57638,1099,50930.0,5609.0,618,12,306299.0,3285.0,93239760
Ecuador,519560,32989,443880.0,42691.0,28855,1832,1917796.0,106510.0,18005734
Egypt,339335,19186,284366.0,35783.0,3233,183,3693367.0,35193.0,104946024
El Salvador,116258,3695,98091.0,14472.0,17802,566,1385010.0,212081.0,6530561
Equatorial Guinea,13459,168,13044.0,247.0,9186,115,242340.0,165394.0,1465232
Eritrea,6979,47,6784.0,148.0,1932,13,23693.0,6558.0,3612879
Estonia,206972,1623,176717.0,28632.0,155882,1222,2209379.0,1664009.0,1327745
Eswatini,46462,1244,45201.0,17.0,39494,1057,376344.0,319902.0,1176435
Ethiopia,367647,6561,343546.0,17540.0,3094,55,3749714.0,31560.0,118813569
Fiji,52298,675,50111.0,1512.0,57772,746,448924.0,495913.0,905247
Finland,165302,1209,46000.0,118093.0,29771,218,7583427.0,1365795.0,5552389
France,7232157,118023,6984114.0,130020.0,110466,1803,151204954.0,2309555.0,65469312
French Guiana,45143,316,11254.0,33573.0,146024,1022,432719.0,1399719.0,309147
French Polynesia,40178,636,33500.0,6042.0,141917,2246,26355.0,93091.0,283109
Gabon,36310,259,29341.0,6710.0,15809,113,1350116.0,587838.0,2296749
Gambia,9979,341,9622.0,16.0,3978,136,120305.0,47961.0,2508416
Georgia,761067,10584,696921.0,53562.0,191281,2660,10627282.0,2670988.0,3978783
Germany,4830135,97355,4397600.0,335180.0,57401,1157,77993513.0,926871.0,84147088
Ghana,130608,1203,128131.0,1274.0,4088,38,1909489.0,59764.0,31950328
Greece,801208,16414,714806.0,69988.0,77381,1585,28531876.0,2755638.0,10354001
Grenada,5863,200,5580.0,83.0,51780,1766,83752.0,739663.0,113230
Guadeloupe,54737,744,2250.0,51743.0,136768,1859,523309.0,1307563.0,400217
Guatemala,606743,15520,588040.0,3183.0,33040,845,2968493.0,161647.0,18364012
Guinea,30709,387,29626.0,696.0,2256,28,567389.0,41676.0,13614242
Guinea-Bissau,6150,143,5737.0,270.0,3028,70,103820.0,51120.0,2030896
Guyana,36257,945,32713.0,2599.0,45797,1194,364203.0,460029.0,791696
Haiti,24233,702,20551.0,2980.0,2091,61,132422.0,11425.0,11590774
Honduras,376595,10313,116408.0,249874.0,37221,1019,1101588.0,108876.0,10117842
Hong Kong,12370,213,12036.0,121.0,1632,28,27124160.0,3578674.0,7579389
Hungary,914586,31521,811266.0,71799.0,95001,3274,7647898.0,794415.0,9627086
Iceland,14757,34,13463.0,1260.0,42868,99,1174170.0,3410866.0,344244
India,34386786,461827,33776053.0,148906.0,24590,330,617223931.0,441384.0,1398383537
Indonesia,4248843,143578,4095663.0,9602.0,15314,518,48838420.0,176032.0,277441333
Iran,6004460,127551,5629596.0,247313.0,70270,1493,36278187.0,424561.0,85448764
Iraq,2065127,23399,2017823.0,23905.0,49830,565,15977538.0,385529.0,41443175
Ireland,477878,5492,397665.0,74721.0,95337,1096,8351591.0,1666156.0,5012491
Israel,1335184,8130,1320731.0,6323.0,143168,872,30154930.0,3233426.0,9326000
Italy,4818705,132491,4586009.0,100205.0,79858,2196,108233928.0,1793697.0,60341269
Ivory Coast,61426,699,60251.0,476.0,2253,26,1107683.0,40632.0,27261390
Jamaica,89788,2293,59473.0,28022.0,30144,770,651122.0,218594.0,2978685
Japan,1724319,18313,1702668.0,3338.0,13690,145,26863887.0,213288.0,125951384
Jordan,880943,11156,843602.0,26185.0,85195,1079,11280788.0,1090949.0,10340344
Kazakhstan,950539,12291,903834.0,34414.0,49816,644,11575012.0,606629.0,19080876
Kenya,253879,5314,247458.0,1107.0,4585,96,2743182.0,49540.0,55373235
Kuwait,412893,2462,410135.0,296.0,94786,565,4979605.0,1143140.0,4356075
Kyrgyzstan,181936,2691,176323.0,2922.0,27277,403,1787059.0,267929.0,6669886
Laos,48892,89,6558.0,42245.0,6591,12,701049.0,94500.0,7418495
Latvia,233698,3561,200413.0,29724.0,125786,1917,5118590.0,2755035.0,1857904
Lebanon,647778,8556,621624.0,17598.0,95486,1261,4780275.0,704641.0,6783990
Lesotho,21685,659,12804.0,8222.0,10015,304,243604.0,112506.0,2165258
Liberia,5817,287,5458.0,72.0,1115,55,128246.0,24576.0,5218425
Libya,362318,5226,309980.0,47112.0,51776,747,1827160.0,261105.0,6997808
Liechtenstein,3703,61,3530.0,112.0,96745,1594,49126.0,1283467.0,38276
Lithuania,430855,6175,386866.0,37814.0,161324,2312,5744815.0,2151016.0,2670745
Luxembourg,83479,852,80175.0,2452.0,130484,1332,3617876.0,5655025.0,639763
Madagascar,43632,964,41322.0,1346.0,1523,34,249510.0,8708.0,28653337
